,recall,precission,f-value
3627,0.8876404494382022,0.021775082690187433,0.04250739843960183
3628,0.8876404494382022,0.021769082391843483,0.04249596557288865
3629,0.8876404494382022,0.021763085399449034,0.04248453885453078
3630,0.8876404494382022,0.021757091710272652,0.04247311827956989
3631,0.8876404494382022,0.021751101321585902,0.042461703843052936
3632,0.8876404494382022,0.021745114230663363,0.04245029554003224
3633,0.8876404494382022,0.021739130434782608,0.04243889336556541
3634,0.8876404494382022,0.02173314993122421,0.04242749731471536
3635,0.8876404494382022,0.021727172717271728,0.04241610738255034
3636,0.8876404494382022,0.021721198790211713,0.042404723564143855
3637,0.8876404494382022,0.0217152281473337,0.04239334585457472
3638,0.8876404494382022,0.0217092607859302,0.04238197424892704
3639,0.8876404494382022,0.021703296703296703,0.04237060874229016
3640,0.8876404494382022,0.021697335896731666,0.042359249329758715
3641,0.8876404494382022,0.021691378363536518,0.042347896006432593
3642,0.8876404494382022,0.021685424101015646,0.04233654876741693
3643,0.8876404494382022,0.0216794731064764,0.04232520760782212
3644,0.8876404494382022,0.02167352537722908,0.042313872522763786
3645,0.8876404494382022,0.021667580910586945,0.04230254350736279
3646,0.8876404494382022,0.02166163970386619,0.04229122055674518
3647,0.8876404494382022,0.021655701754385966,0.042279903666042284
3648,0.8876404494382022,0.021649767059468347,0.04226859283039058
3649,0.8876404494382022,0.021643835616438355,0.0422572880449318
3650,0.8876404494382022,0.021637907422623937,0.04224598930481283
3651,0.8876404494382022,0.02163198247535597,0.042234696605185786
3652,0.8876404494382022,0.021626060771968245,0.042223409941207914
3653,0.8876404494382022,0.02162014230979748,0.042212129308041677
3654,0.8876404494382022,0.02161422708618331,0.0422008547008547
3655,0.8876404494382022,0.02160831509846827,0.04218958611481976
3656,0.8876404494382022,0.021602406343997814,0.0421783235451148
3657,0.8876404494382022,0.021596500820120285,0.04216706698692287
3658,0.8876404494382022,0.021590598524186936,0.04215581643543223
3659,0.8876404494382022,0.021584699453551914,0.04214457188583622
3660,0.8876404494382022,0.02157880360557225,0.042133333333333335
3661,0.8876404494382022,0.021572910977607863,0.04212210077312717
3662,0.8876404494382022,0.021567021567021567,0.04211087420042644
3663,0.8876404494382022,0.02156113537117904,0.04209965361044498
3664,0.8876404494382022,0.02155525238744884,0.04208843899840171
3665,0.8876404494382022,0.0215493726132024,0.042077230359520636
3666,0.8876404494382022,0.021543496045814018,0.04206602768903089
3667,0.8876404494382022,0.02153762268266085,0.04205483098216662
3668,0.8876404494382022,0.02153175252112292,0.0420436402341671
3669,0.8876404494382022,0.021525885558583105,0.042032455440276666
3670,0.8876404494382022,0.02152002179242713,0.04202127659574467
3671,0.8876404494382022,0.021514161220043574,0.04201010369582558
3672,0.8876404494382022,0.02150830383882385,0.04199893673577884
3673,0.8876404494382022,0.02150244964616222,0.041987775710868994
3674,0.8876404494382022,0.021496598639455782,0.041976620616365576
3675,0.8876404494382022,0.02149075081610446,0.041965471447543166
3676,0.8876404494382022,0.021484906173511016,0.04195432819968136
3677,0.8876404494382022,0.021479064709081022,0.04194319086806477
3678,0.8876404494382022,0.021473226420222886,0.04193205944798301
3679,0.8876404494382022,0.021467391304347827,0.041920933934730696
3680,0.8876404494382022,0.021461559358869873,0.04190981432360743
3681,0.8876404494382022,0.021455730581205867,0.0418987006099178
3682,0.8876404494382022,0.021449904968775454,0.04188759278897137
3683,0.8876404494382022,0.021444082519001085,0.04187649085608269
3684,0.8876404494382022,0.021438263229308006,0.04186539480657128
3685,0.8876404494382022,0.021432447097124253,0.04185430463576159
3686,0.8876404494382022,0.02142663411988066,0.04184322033898305
3687,0.8876404494382022,0.021420824295010847,0.04183214191157003
3688,0.8876404494382022,0.021415017619951206,0.04182106934886183
3689,0.8876404494382022,0.021409214092140923,0.0418100026462027
3690,0.8876404494382022,0.021403413709021945,0.0417989417989418
3691,0.8876404494382022,0.021397616468039005,0.04178788680243323
3692,0.8876404494382022,0.021391822366639588,0.041776837652035964
3693,0.8876404494382022,0.021386031402273957,0.041765794343113935
3694,0.8876404494382022,0.021380243572395128,0.04175475687103594
3695,0.8876404494382022,0.021374458874458876,0.04174372523117569
3696,0.8876404494382022,0.021368677305923723,0.04173269941891178
3697,0.8876404494382022,0.021362898864250947,0.04172167942962767
3698,0.8876404494382022,0.02135712354690457,0.04171066525871173
3699,0.8876404494382022,0.021351351351351352,0.041699656901557136
3700,0.8876404494382022,0.021345582275060795,0.04168865435356201
3701,0.8876404494382022,0.021339816315505133,0.04167765761012925
3702,0.8876404494382022,0.02133405347015933,0.041666666666666664
3703,0.8876404494382022,0.02132829373650108,0.04165568151858687
3704,0.8876404494382022,0.021322537112010796,0.04164470216130733
3705,0.8876404494382022,0.021316783594171614,0.04163372859025033
3706,0.8876404494382022,0.021311033180469383,0.04162276080084299
3707,0.8876404494382022,0.021305285868392664,0.04161179878851724
3708,0.8876404494382022,0.02129954165543273,0.04160084254870985
3709,0.8876404494382022,0.021293800539083557,0.041589892076862325
3710,0.8876404494382022,0.021288062516841823,0.041578947368421056
3711,0.8876404494382022,0.021282327586206896,0.04156800841883715
3712,0.8876404494382022,0.02127659574468085,0.041557075223566546
3713,0.8876404494382022,0.021270866989768444,0.04154614777806995
3714,0.8876404494382022,0.02126514131897712,0.04153522607781283
3715,0.8876404494382022,0.021259418729817008,0.04152431011826544
3716,0.8876404494382022,0.021253699219800914,0.04151339989490278
3717,0.8876404494382022,0.021247982786444325,0.041502495403204616
3718,0.8876404494382022,0.021242269427265394,0.04149159663865546
3719,0.8876404494382022,0.021236559139784946,0.04148070359674455
3720,0.8876404494382022,0.02123085192152647,0.04146981627296588
3721,0.8876404494382022,0.02122514777001612,0.04145893466281816
3722,0.8876404494382022,0.0212194466827827,0.041448058761804824
3723,0.8876404494382022,0.02121374865735768,0.04143718856543404
3724,0.8876404494382022,0.021208053691275167,0.04142632406921866
3725,0.8876404494382022,0.021202361782071927,0.04141546526867628
3726,0.8876404494382022,0.02119667292728736,0.04140461215932914
3727,0.8876404494382022,0.02119098712446352,0.04139376473670422
3728,0.8876404494382022,0.02118530437114508,0.04138292299633316
3729,0.8876404494382022,0.021179624664879357,0.04137208693375229
3730,0.8876404494382022,0.021173948003216297,0.04136125654450262
3731,0.8876404494382022,0.02116827438370847,0.04135043182412981
3732,0.8876404494382022,0.021162603803911065,0.041339612768184195
