,recall,precission,f-value
1842,0.7865168539325843,0.03798155181768855,0.07246376811594203
1843,0.7865168539325843,0.03796095444685466,0.07242628039317124
1844,0.7865168539325843,0.037940379403794036,0.07238883143743537
1845,0.7865168539325843,0.03791982665222102,0.07235142118863049
1846,0.7865168539325843,0.03789929615592853,0.07231404958677685
1847,0.7865168539325843,0.03787878787878788,0.07227671657201859
1848,0.7865168539325843,0.03785830178474851,0.07223942208462333
1849,0.7865168539325843,0.03783783783783784,0.07220216606498196
1850,0.7865168539325843,0.037817396002161,0.07216494845360825
1851,0.7865168539325843,0.03779697624190065,0.07212776919113859
1852,0.7865168539325843,0.037776578521316787,0.07209062821833162
1853,0.7865168539325843,0.037756202804746494,0.07205352547606794
1854,0.7865168539325843,0.03773584905660377,0.07201646090534979
1855,0.7865168539325843,0.03771551724137931,0.07197943444730076
1856,0.7865168539325843,0.03769520732364028,0.07194244604316546
1857,0.7865168539325843,0.03767491926803014,0.0719054956343092
1858,0.7865168539325843,0.037654653039268425,0.07186858316221766
1859,0.7865168539325843,0.03763440860215054,0.07183170856849667
1860,0.7865168539325843,0.037614185921547555,0.0717948717948718
1861,0.7865168539325843,0.03759398496240601,0.0717580727831881
1862,0.7865168539325843,0.03757380568974772,0.07172131147540983
1863,0.7865168539325843,0.03755364806866953,0.07168458781362007
1864,0.7865168539325843,0.03753351206434316,0.07164790174002046
1865,0.7865168539325843,0.03751339764201501,0.07161125319693096
1866,0.7865168539325843,0.037493304767005894,0.07157464212678938
1867,0.7865168539325843,0.03747323340471092,0.07153806847215126
1868,0.7865168539325843,0.03745318352059925,0.07150153217568948
1869,0.7865168539325843,0.0374331550802139,0.07146503318019397
1870,0.7865168539325843,0.03741314804917156,0.07142857142857142
1871,0.7865168539325843,0.03739316239316239,0.07139214686384497
1872,0.7865168539325843,0.03737319807794982,0.07135575942915394
1873,0.7865168539325843,0.03735325506937033,0.07131940906775344
1874,0.7865168539325843,0.037333333333333336,0.07128309572301426
1875,0.7865168539325843,0.03731343283582089,0.07124681933842239
1876,0.7865168539325843,0.03729355354288759,0.07121057985757885
1877,0.7865168539325843,0.03727369542066028,0.0711743772241993
1878,0.7865168539325843,0.03725385843533795,0.07113821138211382
1879,0.7865168539325843,0.03723404255319149,0.07110208227526663
1880,0.7865168539325843,0.03721424774056353,0.07106598984771574
1881,0.7865168539325843,0.03719447396386823,0.07102993404363268
1882,0.7865168539325843,0.03717472118959108,0.07099391480730224
1883,0.7865168539325843,0.037154989384288746,0.07095793208312215
1884,0.7865168539325843,0.03713527851458886,0.07092198581560284
1885,0.7865168539325843,0.03711558854718982,0.07088607594936709
1886,0.7865168539325843,0.03709591944886063,0.0708502024291498
1887,0.7865168539325843,0.037076271186440676,0.07081436519979767
1888,0.7865168539325843,0.037056643726839596,0.07077856420626896
1889,0.7865168539325843,0.037037037037037035,0.07074279939363315
1890,0.7865168539325843,0.0370174510840825,0.0707070707070707
1891,0.7865168539325843,0.03699788583509514,0.0706713780918728
1892,0.7865168539325843,0.036978341257263604,0.07063572149344097
1893,0.7865168539325843,0.03695881731784583,0.07060010085728695
1894,0.7865168539325843,0.036939313984168866,0.07056451612903226
1895,0.7865168539325843,0.03691983122362869,0.07052896725440806
1896,0.7865168539325843,0.03690036900369004,0.07049345417925477
1897,0.7865168539325843,0.0368809272918862,0.0704579768495219
1898,0.7865168539325843,0.03686150605581885,0.07042253521126761
1899,0.7865168539325843,0.03684210526315789,0.07038712921065862
